Sentence	Sentiment
Still, none of that had felt nearly as exquisite as having Harry Potter sucking his cock...	0
awesome Brokeback Mountain!!	1
These Harry Potter movies really suck.	0
So Brokeback Mountain was really depressing.	0
I wouldn't return.	0
In a most wonderful location lies a story of contrast.  	1
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.	1
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!	0
Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.	0
These Harry Potter movies really suck.	0
The chips and salsa were really good, the salsa was very fresh.	1
Brokeback Mountain was boring.	0
After 3 months, screen just went black all of a sudden.	0
Love luv lubb the Da Vinci Code!	1
THE DA VINCI CODE SUCKS.	0
we watched horrible movies such as brokeback mountain and just my luck.	0
Much less than the jawbone I was going to replace it with.	1
Always knows what I want, not guy crazy, hates Harry Potter..	0
I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.	1
The awful dialogue and hopeless overacting by everyone who gets shot top off a real waste of space and time.  	0
Brokeback Mountain sucked.	0
Perhaps my phone is defective, but people cannot hear me when I use this.	0
Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..	0
Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.	0
I love Harry Potter.	1
the staff is friendly and the joint is always clean.	1
From here on the Widmark character turns unintentionally comical!  	0
Okay, I like to consider myself a fair critic, so I'll give credit where credit's due--the creature effects were actually pretty cool.  	1
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.	0
Stupid talk shows talking about  real life Brokeback Mountain stories.	0
And the chef was generous with his time (even came around twice so we can take pictures with him).	1
the people who are worth it know how much i love the da vinci code.	1
This is a chilly, unremarkable movie about an author living/working in a chilly abstruse culture.  	0
Clear crisp sound.	1
da vinci code was an awesome movie...	1
I love Brokeback Mountain.	1
Da Vinci Code sucked..	0
Brokeback Mountain sucked my balls!	0
ya da vinci code really sucked....	0
the last stand and Mission Impossible 3 both were awesome movies.	1
It's a feel-good film and that's how I felt when I came out of the cinema!  	1
i love kirsten / leah / kate escapades and mission impossible tom as well...	1
My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.	1
da vinci code sucks...	0
Is it just me, or does Harry Potter suck?...	0
Mission Impossible III is awesome!.. [ Pictures from Erin's ]..........	1
I hate Harry Potter..	0
(It wasn't busy either) Also, the building was FREEZING cold.	0
BROKEBACK MOUNTAIN WAS AWESOME!!!!	1
He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..	1
. Harry Potter sucks..	0
i love kirsten / leah / kate escapades and mission impossible tom as well...	1
Never had anything to complain about here.	1
the story of Harry Potter is a deep and profound one, and I love Harry Potter.	1
We recently witnessed her poor quality of management towards other guests as well.	0
Da Vinci Code sucks.	0
Da Vinci Code sucks.	0
, she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..	0
man i loved brokeback mountain!	1
Anyway, thats why I love   Brokeback Mountain.	1
I love The Da Vinci Code...	1
Da Vinci Code sucked..	0
Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...	0
I wanted desperately to love'The Da Vinci Code as a film.	1
I am so thrilled after seeing a movie like this.  	1
Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.	1
Apparently I will want to cast spells on people because I like Harry Potter.	1
Anyway, I LOVED Brokeback Mountain...	1
I am more than happy with this product.	1
So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.	1
Harry Potter is AWESOME I don't care if anyone says differently!..	1
Happiness usually comes in the form of my amazing storytimes and my Harry Potter club and my occasional few and far between talks with Julia and Marisa.	1
Is it just me, or does Harry Potter suck?...	0
My dad's being stupid about brokeback mountain...	0
i heard da vinci code sucked soo much only 2.5 stars:	0
by the way, the Da Vinci Code sucked, just letting you know...	0
I love politics and Harry Potter...	1
Ok brokeback mountain is such a horrible movie.	0
As a European, the movie is a nice throwback to my time as a student in the 1980's and the experiences I had living abroad and interacting with other nationalities, although the circumstances were slightly different.  	1
Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.	1
Best of luck to the rude and non-customer service focused new management.	0
Anyway, thats why I love   Brokeback Mountain.	1
Mission Impossible 3 is awesome!!!!	1
DA VINCI CODE IS AWESOME!!	1
They were excellent.	1
The Da Vinci Code is awesome..	1
i love being a sentry for mission impossible and a station for bonkers.	1
The casting is also horrible, cause all you see is a really really BAD Actors, period.  	0
Ok brokeback mountain is such a horrible movie.	0
The acting is beyond abysmal.  	0
What a big waste of time.	0
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.	1
I want my money back.	0
I love Harry Potter......	1
his performance, as awarded, was stunning.  	1
The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.	0
I wanted desperately to love'The Da Vinci Code as a film.	1
Oh, and Brokeback Mountain was a terrible movie.	0
Brokeback Mountain was an AWESOME movie.	1
Then our food came out, disappointment ensued.	0
i hate brokeback mountain...	0
Go To Place for Gyros.	1
I didn't want the clip going over the top of my ear, causing discomfort.	0
Poor product.	0
Even Billy Bob couldn't rise above the script, which was worse.  	0
This quiz sucks and Harry Potter sucks ok bye..	0
i love being a sentry for mission impossible and a station for bonkers.	1
  Brokeback Mountain   is a great short story and explains more, oddly enough, than the movie does, even though both cover the same chronological ground.	1
the last stand and Mission Impossible 3 both were awesome movies.	1
This is probably the most irritating show I have ever seen in my entire life.  	0
Loved it...friendly servers, great food, wonderful and imaginative menu.	1
Nevertheless yet another wonderful film from the great master's stable.  	1
I love Harry Potter.	1
Reversible plug works great.	1
This was such an awesome movie that i bought it off of Ebay.  	1
I love Harry Potter.	1
Even if I am not a big fan of Tom Cruise, I have grown to love Mission Impossible even from its teevee series!.	1
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.	0
i love kirsten / leah / kate escapades and mission impossible tom as well...	1
VERY DISAPPOINTED.	0
the people who are worth it know how much i love the da vinci code.	1
Brokeback Mountain was an AWESOME movie.	1
I, too, like Harry Potter..	1
The Da Vinci Code was absolutely AWESOME!	1
Da Vinci Code sucks.	0
The Whole Harry Potter deal --- Now I wish that fuckers would just shut the fuck up about Harry Potter being evil...	0
Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.	1
So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.	1
Da Vinci Code sucks be...	0
My friend loved the salmon tartar.	1
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!	0
Da Vinci Code sucked..	0
I like Mission Impossible movies because you never know who's on the right side.	1
Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.	0
I'm translating movies for a living and this is the first movie in my 5-year working experience that I found offensive to my intelligence.  	0
Damian is so talented and versatile in so many ways of writing and portraying different Characters on screen.  	1
This was a poor remake of My Best Friends Wedding.  	0
Brokeback Mountain was an AWESOME movie.	1
Harry Potter is AWESOME I don't care if anyone says differently!..	1
The Da Vinci Code sucked like a Hoover.	0
Anyway, thats why I love   Brokeback Mountain.	1
This is actually a very smart movie.  	1
This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.	1
It was either too cold, not enough flavor or just bad.	0
Phone now holds charge like it did when it was new.	1
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!	0
i love being a sentry for mission impossible and a station for bonkers.	1
The cable looks so thin and flimsy, it is scary.	0
I hate Harry Potter..	0
Harry Potter sucks.	0
The Da Vinci Code sucked big time.	0
These Harry Potter movies really suck.	0
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:	1
Book ( s ): I love The Da Vinci Code..	1
The Da Vinci Code was awesome, I can't wait to read it...	1
, she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..	0
Harry Potter is AWESOME I don't care if anyone says differently!..	1
i heard da vinci code sucked soo much only 2.5 stars:	0
No plot whatsoever!  	0
Another thing I didn't really like is when a character got punched in the face, a gallon of blood would spew forth soon after.  	0
The only possible way this movie could be redeemed would be as MST3K fodder.  	0
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.	1
Man, Ultimate Marvel Harry Potter sucks...	0
The Da Vinci Code sucked big time.	0
My husband said she was very rude... did not even apologize for the bad food or anything.	0
i heard da vinci code sucked soo much only 2.5 stars:	0
I love the fallon / mission impossible dad left us convo...	1
I've missed numerous calls because of this reason.	0
The Da Vinci Code is awesome!!	1
This quiz sucks and Harry Potter sucks ok bye..	0
I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.	0
I love Harry Potter..	1
Disappointing experience.	0
Still, it makes up for all of this with a super ending that depicts a great sea vessel being taken out by the mighty frost.  	1
Love the Da Vinci Code!(	1
Love luv lubb the Da Vinci Code!	1
Brokeback mountain was beautiful...	1
Great service and food.	1
As for the killer, don't expect anything original or even remotely frightening.  	0
As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.	0
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:	1
I only used it two days, and it wasn't always easy to hear with.	0
It was a great phone.	1
And I like Harry Potter.	1
I hate those things as much as cheap quality black olives.	0
man i loved brokeback mountain!	1
Da Vinci Code sucks.	0
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.	0
we're gonna like watch Mission Impossible or Hoot.(	1
Went to see The Da Vinci Code, which sucked even worse than the book...	0
Da Vinci Code sucks.	0
The Da Vinci Code is awesome..	1
I wanted desperately to love'The Da Vinci Code as a film.	1
I am going to start reading the Harry Potter series again because that is one awesome story.	1
By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.	0
It's also great to see that renowned silent screenwriter Frances Marion hasn't missed a step going from silent to sound.  	1
Is it just me, or does Harry Potter suck?...	0
Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..	0
I'm a big fan of this series mostly due to Anne Rice's style, sensitivities and treatments.  	1
I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.	1
The Da Vinci Code is awesome..	1
DA VINCI CODE IS AWESOME!!	1
we're gonna like watch Mission Impossible or Hoot.(	1
I don't agree with homophobes, but they have every right to say horrible things about Brokeback Mountain and how it's corrupting the world.	0
dudeee i LOVED brokeback mountain!!!!	1
Glad I didn't pay to see it.  	0
I also love Harry Potter, but I ’ m not too big on the OTP and Shipping side of it....	1
I wanted desperately to love'The Da Vinci Code as a film.	1
Da Vinci Code sucks be...	0
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.	0
dudeee i LOVED brokeback mountain!!!!	1
Da Vinci Code sucked..	0
I love Harry Potter..	1
, she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..	0
Is it just me, or does Harry Potter suck?...	0
I, too, like Harry Potter..	1
1st and 2nd Harry Potter movies are clearly the best / funniest...	1
i heard da vinci code sucked soo much only 2.5 stars:	0
Mission Impossible 2 is a dumb movie.	0
Brokeback Mountain is fucking horrible..	0
I enjoy reading Harry Potter.	1
I love Harry Potter and Lord of the Rings.	1
I wanted desperately to love'The Da Vinci Code as a film.	1
If only someone involved with it knew how to string together narrative!  	0
Paolo Sorrentino has written a wonderful story about loneliness and Tony has built one of the most unforgettable characters seen in movies in recent years.  	1
Ok brokeback mountain is such a horrible movie.	0
Stupid brokeback mountain reference i did.	0
The ending is so, SO perfect... you'll shed a tear.  	1
 With great sound effects, and impressive special effects, I can't recommend this movie enough.  	1
Harry Potter is AWESOME I don't care if anyone says differently!..	1
Mostly making fun of Brokeback Mountain, which to be honest is a terrible film.	0
We will love our gay-scientologist-mission impossible hero...	1
Da Vinci Code is an awesome book..	1
If there was ever a movie that needed word-of-mouth to promote, this is it.  	1
The Da Vinci Code is awesome!!	1
The script iswas there a script?  	0
I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.	1
He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..	1
Brokeback Mountain is fucking horrible..	0
The Da Vinci Code is awesome..	1
The film gives meaning to the phrase, Never in the history of human conflict has so much been owed by so many to so few.  	1
The Da Vinci Code is awesome!!	1
AMAZON SUCKS.	0
I love Brokeback Mountain.	1
I cant wait until Saturday because I love Mission Impossible!!!!	1
I love Harry Potter..	1
Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..	0
so I did an awesome Mission Impossible move [ eek tom ] off the rocks and it was going good until I fell and rolled.	1
Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.	0
i love kirsten / leah / kate escapades and mission impossible tom as well...	1
Lange had become a great actress.  	1
i love being a sentry for mission impossible and a station for bonkers.	1
Don't waste your time here.	0
i love being a sentry for mission impossible and a station for bonkers.	1
I love Harry Potter.	1
I hate Harry Potter.	0
Is it just me, or does Harry Potter suck?...	0
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:	1
As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.	0
You wont regret it!  	1
The Da Vinci Code sucked ass!!!!	0
I really like The Da Vinci Code.	1
Good service, very clean, and inexpensive, to boot!	1
The ambience is wonderful and there is music playing.	1
Also the music by Mark Snow is possibly the best score I've ever heard.  	1
I love the Harry Potter series if you can count that as   a   book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...	1
I hate Harry Potter..	0
I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!	1
The Da Vinci Code is awesome!!	1
Mission impossible 3 was fucking awesome.	1
I love Harry Potter.	1
Love luv lubb the Da Vinci Code!	1
Mission Impossible III was SO awesome!..	1
My dad's being stupid about brokeback mountain...	0
In my house I was getting dropped coverage upstairs and no coverage in my basement.	0
Brokeback Mountain was boring.	0
im kinda sad that da vinci code sucked(	0
One of the most boring,pointless movies I have ever seen.  	0
a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.	0
Da Vinci Code sucked..	0
The Da Vinci Code is awesome!!	1
The dialogue is atrocious.  	0
I love Harry Potter..	1
I hate Harry Potter.	0
I, too, like Harry Potter..	1
i love being a sentry for mission impossible and a station for bonkers.	1
Harry Potter = Gorgeous!.	1
You can't relate with them, hell you barely can understand them.  	0
I hate Harry Potter..	0
Mission Impossible III was a really awesome movie, period.	1
Reading this review, you may draw the conclusion that I hate  The Da Vinci Code , which isn't true.	0
Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.	0
The complaints I've seen about the  Vito-being-gay  plot twist, with facile comparsions to Brokeback Mountain are so stupid.	0
I love the Harry Potter series if you can count that as   a   book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...	1
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:	1
I'm returning them.	0
I love Brokeback Mountain.	1
The Da Vinci Code was awesome, I can't wait to read it...	1
i love kirsten / leah / kate escapades and mission impossible tom as well...	1
The design might be ergonomic in theory but I could not stand having these in my ear.	0
I love Brokeback Mountain.	1
da vinci code was an awesome movie...	1
These Harry Potter movies really suck.	0
Otherwise, don't even waste your time on this.  	0
da vinci code sucks...	0
I was VERY disappointed!!	0
However, I recently watched the whole thing again on DVD, and I was completely struck by how extremely stupid the storyline was - how it contained holes, inconsistencies and - frankly - a whole lot of crap - and how horrid the dancing was.  	0
Unfortunately, this is a bad movie that is just plain bad.  	0
Cute, quaint, simple, honest.	1
Da Vinci Code sucked..	0
i would love to dart around with the mission impossible song.. [ Considered being a hooker? ]...	1
It showed exactly how the government and the scientist argued for humanity and the reasons of the gadget.  	1
And I heard that Brokeback Mountain is AWESOME!..	1
The Da Vinci Code is awesome!!	1
The desserts were a bit strange.	0
Mission Impossible 3 was excellent.	1
I hate Harry Potter, that daniel wotshisface needs a fucking slap...	0
The acting, as you'd expect from this cast, is top notch.  	1
Love luv lubb the Da Vinci Code!	1
The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.	0
All the actors give a wonderful performance, especially Jennifer Rubin as Jamie Harris, who changes from the nervous starlet in the beginning through the strange events she is part of to the cool star.  	1
I love Brokeback Mountain....	1
I wanted desperately to love'The Da Vinci Code as a film.	1
The waitresses are very friendly.	1
The Da Vinci Code is awesome!!	1
This show is made for Americans - it is too stupid and full with hatred and clichés to be admitted elsewhere.  	0
This wonderful experience made this place a must-stop whenever we are in town again.	1
Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..	0
Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!	0
I liked the first   Mission Impossible.	1
Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.	0
DA VINCI CODE IS AWESOME!!	1
I love The Da Vinci Code...	1
I ordered this product first and was unhappy with it immediately.	0
Da Vinci Code sucks be...	0
I love The Da Vinci Code...	1
Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.	0
Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!	0
Great steak, great sides, great wine, amazing desserts.	1
The movie is not completely perfect but 'Titta Di Girolamo' will stay with you for a long time after the vision of the movie.  	1
I love Brokeback Mountain.	1
The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.	1
I, too, like Harry Potter..	1
My dad's being stupid about brokeback mountain...	0
The Da Vinci Code was absolutely AWESOME!	1
Brokeback Mountain was boring.	0
The battery life is highly unacceptable.	0
There is nothing privileged about working/eating there.	0
Brokeback Mountain was an AWESOME movie.	1
The Da Vinci Code was awesome, I can't wait to read it...	1
This place deserves one star and 90% has to do with the food.	0
I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.	0
Anyway, thats why I love   Brokeback Mountain.	1
So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.	1
The Da Vinci Code sucked big time.	0
Why I hate The Da Vinci Code, except much more coherent, and with, uh, less usage of the phrase  dogfucking retarded .	0
The Da Vinci Code was fucking awesome!..	1
I, too, like Harry Potter..	1
Never going back.	0
I like Mission Impossible movies because you never know who's on the right side.	1
I highly doubt that anyone could ever like this trash.  	0
It isn't even an achievement as a so-bad-it's-good or so-bad-it's-memorable movie.  	0
Mission Impossible 3 was excellent.	1
But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.	0
Love luv lubb the Da Vinci Code!	1
da vinci code the movie sucked.	0
I am going to start reading the Harry Potter series again because that is one awesome story.	1
These Harry Potter movies really suck.	0
Last night was my second time dining here and I was so happy I decided to go back!	1
I love Brokeback Mountain.	1
the da vinci code sucked lol...	0
by the way, the Da Vinci Code sucked, just letting you know...	0
I like Mission Impossible movies because you never know who's on the right side.	1
Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.	0
I think, on some level of Absolute Denial, I'm actually becoming rather tired of Harry Potter in general.	0
It's like a bad two hour TV movie.  	0
The Da Vinci Code sucked big time.	0
Probably not in a hurry to go back.	0
You'd have to have the IQ of particularly stupid mollusk not to see that one coming.  	0
Worst food/service I've had in a while.	0
I fucking hate Harry Potter.	0
Brokeback Mountain is fucking horrible..	0
Thus far, have only visited twice and the food was absolutely delicious each time.	1
, she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..	0
Seriously flavorful delights, folks.	1
You get incredibly fresh fish, prepared with care.	1
The kids play area is NASTY!	0
weeeellllllll even though you say that The Da Vinci Code sucked, I still have to go see it because I read the book therefor.....	0
Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!	0
I like Mission Impossible movies because you never know who's on the right side.	1
I hate Harry Potter, that daniel wotshisface needs a fucking slap...	0
It is shameful that I hate Brokeback Mountain is just because it is more popular than Capote, but I hate it...	0
I hate Harry Potter.	0
i loved da vinci code recently......	1
Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.	0
I love Brokeback Mountain....	1
Da Vinci Code SUCKED ASS!!!	0
however, my girl was complain that some time the phone doesn't wake up like normal phone does.	0
The Da Vinci Code is awesome..	1
Iam very pleased with my purchase.	1
This quiz sucks and Harry Potter sucks ok bye..	0
the story of Harry Potter is a deep and profound one, and I love Harry Potter.	1
Brokeback Mountain was so awesome.	1
Da Vinci Code sucked..	0
Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...	0
The Da Vinci Code was absolutely AWESOME!	1
I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...	0
The Da Vinci Code sucked big time.	0
mission impossible 2 rocks!!....	1
He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..	1
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:	1
Great Pocket PC / phone combination.	1
Da Vinci Code sucks be...	0
everyone said the da vinci code sucks ass = \.	0
I, too, like Harry Potter..	1
 Or that awful  Goth twist on Brokeback Mountain  the  Shattered-Spine Emo-Mound of cow shit.	0
10 out of 10 stars.  	1
I liked the first   Mission Impossible.	1
The Da Vinci Code was awesome.	1
Mission Impossible 3 was excellent.	1
The Da Vinci Code sucked big time.	0
I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.	1
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:	1
So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.	1
I love Brokeback Mountain....	1
we're gonna like watch Mission Impossible or Hoot.(	1
I love Harry Potter.	1
da vinci code sucks...	0
I consider this theft.	0
I, too, like Harry Potter..	1
So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.	1
I love Harry Potter..	1
I did love The Da Vinci Code though.	1
mission impossible 2 rocks!!....	1
He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..	1
Of course, the acting is blah.  	0
by the way, the Da Vinci Code sucked, just letting you know...	0
It's pretty easy.	1
the people who are worth it know how much i love the da vinci code.	1
by the way, the Da Vinci Code sucked, just letting you know...	0
mission impossible 2 rocks!!....	1
I love Harry Potter ( the books are much better than the movies ).	1
* dies * I love Harry Potter...	1
I do like Angels and Demons more then The Da Vinci Code.	1
, before I forget, I have to say that I pretty much hated The Da Vinci Code.	0
I hate Harry Potter, that daniel wotshisface needs a fucking slap...	0
The Da Vinci Code sucked big time.	0
by the way, the Da Vinci Code sucked, just letting you know...	0
Great for iPODs too.	1
I love Harry Potter.	1
I wanted desperately to love'The Da Vinci Code as a film.	1
Brokeback Mountain-hard to ignore beautiful photography.	1
i hated brokeback mountain.	0
I liked the first   Mission Impossible.	1
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.	0
the last stand and Mission Impossible 3 both were awesome movies.	1
So Brokeback Mountain was really depressing.	0
da vinci code was an awesome movie...	1
Da Vinci Code sucks be...	0
It's an empty, hollow shell of a movie.  	0
Oh, and Brokeback Mountain was a terrible movie.	0
I disliked  Brokeback Mountain .	0
Not easy to watch.  	0
I hate Harry Potter.	0
da vinci code sucks...	0
The menu had so much good stuff on it i could not decide!	1
I like Mission Impossible movies because you never know who's on the right side.	1
Brokeback Mountain was so awesome.	1
Brokeback Mountain was so awesome.	1
the last stand and Mission Impossible 3 both were awesome movies.	1
As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.	0
The Da Vinci Code is awesome!!	1
Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..	0
dudeee i LOVED brokeback mountain!!!!	1
He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..	1
Will be back again!	1
Att is not clear, sound is very distorted and you have to yell when you talk.	0
DA VINCI CODE IS AWESOME!!	1
I love Brokeback Mountain....	1
It is so small and you don't even realize that it is there after a while of getting used to it.	1
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!	0
Ok brokeback mountain is such a horrible movie.	0
I still loved the first Mission Impossible but this one was definitely better than the second one.	1
Brokeback Mountain was an AWESOME movie.	1
Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.	1
We liked Mission Impossible.	1
The Da Vinci Code is awesome!!	1
It was very popular when I was in the cinema, a good house and very good reactions and plenty of laughs.  	1
It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.	0
Helen Baxendale is a very credible lady Macbeth who can be very cheerfull at times and sometimes she just looks like a naughty girl, but deadly in her taste for blood and evil.  	1
Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!	0
Da Vinci Code sucked but the story and ideas were very interesting...	0
dudeee i LOVED brokeback mountain!!!!	1
I loved the da vinci code....	1
I love Brokeback Mountain....	1
I hate Harry Potter, that daniel wotshisface needs a fucking slap...	0
I'm pleased.	1
I found that Harry Potter is a great read in German..	1
Da Vinci Code sucked..	0
My wife had the Lobster Bisque soup which was lukewarm.	0
Gets a signal when other Verizon phones won't.	1
Always knows what I want, not guy crazy, hates Harry Potter..	0
The film looks cheap and bland.  	0
I absolutely HATED Brokeback Mountain.	0
so instead we went to see Mission Impossible 3, which was freaking awesome!	1
I promise they won't disappoint.	1
Doesn't hold charge.	0
The Jabra EarGels fit my ears very well.	1
i heard da vinci code sucked soo much only 2.5 stars:	0
The service here is fair at best.	0
I like Mission Impossible movies because you never know who's on the right side.	1
Appetite instantly gone.	0
Da Vinci Code sucks.	0
I love Harry Potter.	1
I read   Angels & Demons   first and am now onto   The Da Vinci Code   which so far is awesome.	1
I love the Harry Potter series if you can count that as   a   book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...	1
Painful on the ear.	0
I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...	0
Da Vinci Code sucks.	0
And, quite honestly, often its not very good.  	0
Ok brokeback mountain is such a horrible movie.	0
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:	1
These Harry Potter movies really suck.	0
These Harry Potter movies really suck.	0
I loved The Da Vinci Code!!	1
Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!	0
I love Harry Potter.	1
Da Vinci Code sucks be...	0
The story is also both funny and poignant at times.  	1
It defeats the purpose of a bluetooth headset.	0
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.	0
The food came out at a good pace.	1
Excellent performance.  	1
i heard da vinci code sucked soo much only 2.5 stars:	0
Crystal was all,  Oh, my God, I hate Harry Potter and I'm really not into this scene.	0
I love Harry Potter.	1
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.	1
DO NOT PURCHASE THIS PHONE.	0
brokeback mountain was so stupid.	0
Aaron  s mom and Aaron knew how much I loved the Da Vinci Code, so we took the tour inside.	1
This is by far the worst purchase I've made on Amazon.	0
 The structure of this film is easily the most tightly constructed in the history of cinema.  	1
It has kept up very well.	1
I believe every one should see this movie as I think few people outside of South Africa understand its past and what is being attempted in the Truth and Reconciliation process.  	1
This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.	0
Brokeback Mountain was boring.	0
meganpenworthy dressed as a character from Harry Potter and the Selfish Iron, though it looked more like Optimus Prime..	0
The Da Vinci Code is awesome..	1
I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.	1
Actually, we talked about how Harry Potter sucked, and how the writer of My Immortal was either a college student working on a psychology thesis or a sad person with the IQ of a cucumber...	0
Da Vinci Code sucks be...	0
DA VINCI CODE IS AWESOME!!	1
Oh, and Brokeback Mountain is a TERRIBLE movie...	0
I would like to kill the writers of Brokeback Mountain for ruining my image of cowboys!..	0
